課,Khoá niên khoá; KA
全,Toàn hoàn toàn ZEN
体,Thể cơ thể TAI; TEI
県,Huyện huyện; tỉnh KEN
引,Dẫn kéo IN
神,Thần thần thánh SHIN; JIN
二,Nhị số 2 NI
止,Chỉ dừng lại; đình chỉ SHI
換,Hoán hoán đổi KAN
雨,Vũmưa U
節,Tiết tiết kiệm SETSU; SECHI
界,giới thế giới KAI
橋,kiều cây cầu KYOU
軽,Khinh nhẹ KEI
単,Đơn đơn giản TAN
簡,Giản đơn giản KAN
押,Áp ấn; ép OU
重,Trọng nặng JUU; CHOU
若,Nhược trẻ JAKU; NYAKU
撮,Toát chụp ảnh SATSU
万,Vạn 1 vạn MAN; BAN
写,Tả sao lại SHA
実,Thực sự thực; JITSU
真,Chân chân thật SHIN
聞,Văn/Vấn nghe/hỏi BUN; MON
特,Đặc đặc biệt TOKU
多,Đa nhiều TA
読,Độc đọc DOKU; TOKU; TOU
吸,Hấp hấp thu KYUU
送,Tống đưa đi; SOU
店,Điếm cửa hàng TEN
消,Tiêu tiêu diệt SHOU
荷,hà hành lý KA
銀,Ngân bạc; GIN
野,Dã hoang dã; dã cầu YA
中,Trung ở giữa CHUU
院,viện bệnh viện IN
医,y y học I
究,cứu nghiên cứu KYUU
工,Công công trường KOU; KU
帰,Quy trở về KI
校,Hiệu trường học KOU
動,Động chuyển động DOU
椅,#N/A
円,Viên tiền yên EN
千,Thiên 1 nghìn SEN
勉,Miễn cố gắng BEN
水,Thủy nước SUI
終,Chung kết thúc SHUU
友,Hữu bạn hữu YUU
線,Tuyến tuyến đường SEN
彼,Bỉ anh ta HI
刺,Thích đâm thủng; chích SHI
通,Thông giao thông; thông hành TSUU; TSU
傘,Tán cái ô SAN
誕,Đản sinh ra TAN
機,Cơ cơ khí KI
箱,Tương cái hộp -
船,Thuyền cái thuyền SEN
主,Chủ ông chủ SHU; SU
利,Lợi tiện lợi RI
奥,Áo bên trong OU
皆,Giai mọi người KAI
暇,Hạ nhàn hạ KA
私,Tư tư nhân SHI
小,Tiểu nhỏ SHOU
悪,ác ác nhân AKU; O
親,Thân người thân SHIN
産,Sản sản nghiệp SAN
姉,Tỷ chị gái SHI
買,Mãi mua BAI
内,Nội bên trong; nội dung NAI; DAI
元,Nguyên nguyên khí GEN; GAN
父,Phụ cha FU
械,Giới cơ giới KAI
弾,Đạn viên đạn DAN
直,Trực sửa chữa; trực tiếp CHOKU; JIKI
業,nghiệp nghiệp vụ GYOU; GOU
弁,Biện biện luận BEN
返,Phản trả lại HEN
配,Phối phân phối HAI
険,Hiểm hiểm họa; KEN
触,Xúc xúc giác SHOKU
脱,Thoát cởi bỏ DATSU
払,Phất trả tiền FUTSU
介,Giới giới thiệu KAI
答,Đáp trả lời; TOU
詞,Từ từ ngữ SHI
頑,Ngoan ngoan cố GAN
健,Kiện tráng kiện KEN
保,Bảo bảo đảm HO
康,Khang an khang KOU
形,Hình hình dạng KEI;GYOU
準,Chuẩn chuẩn bị JUN
備,Bị chuẩn bị BI
筆,Bút cái bút HITSU
危,Nguy nguy hiểm KI
可,Khả khả năng KA
計,Kế kế hoạch KEI
許,Hứa cho phép KYO
般,Ban bình thường HAN
務,Vụ sự vụ MU
短,Đoản ngắn TAN
勤,Cần cần cù KIN; GON
顔,Nhan khuôn mặt GAN
鼻,Tỵ cái mũi BI
背,Bối cái lưng HAI
堂,Đường võ đường; DOU
思,Tư suy nghĩSHI
百,Bách số 100 HYAKU
億,Ức 100 triệu OKU
床,Sàng cái giường SHOU
庭,Đình sân vườn TEI
受,Thụ nhận JU
舎,Xá phố xá SHA
浴,Dục tắm YOKU
確,Xác chính xác; KAKU
認,Nhận xác nhận NIN
窓,Song cửa sổ SOU
額,Ngạch cái trán; GAKU
具,Cụ công cụ; GU
心,Tâm tâm trạng; tâm lý SHIN
忘,Vong quên BOU
机,Kỷ cái bàn KI
髪,Phát tóc HATSU
足,Túc bàn chân; sung túc SOKU
口,Khẩu cái mồm KOU; KU
耳,Nhĩcái tai JI
色,Sắc màu sắc SHOKU; SHIKI
英,Anh tiếng anh EI
緑,Lục màu xanh lá cây RYOKU; ROKU
寺,Tự Chùa JI
最,Tối tối cao; SAI
師,Sư thầy giáo SHI
門,Môn cái cửa MON
専,Chuyên chuyên môn SEN
駄,Đà thồ hàng DA
首,Thủ cái cổ; thủ tướng SHU
札,Trát tiền giấy SATSU
進,Tiến tiến lên SHIN
要,Yếu tất yếu YOU
僕,Bộc xưng tôi BOKU
撲,Phác đánh nhau BOKU
乾,Can cạn KAN
不,Bất không có; FU; BU
同,Đồng giống nhau DOU
君,Quân quân chủ KUN
価,Giá giá cả; KA
和,Hoà hoà bình WA; O
嬉,#N/A
束,Thúc bó; buộc SOKU
賃,Nhâm thuê CHIN
悲,Bi buồn HI
里,Lý đơn vị đo; hải lý.. RI
布,Bố vải FU
団,Đoàn đoàn thể DAN; TON
政,Chính chính sách; SEI; SHOU
治,Trị trị liệu; CHI; JI
統,Thống truyền thống TOU
領,Lãnh lãnh đạo RYOU
眼,Nhãn con mắt GAN; GEN
鏡,Kính gương KYOU
合,Hợp hòa hợp GOU; GAQ; KAQ
帽,Mạo mũBOU
韓,#N/A
誌,Chí tạp chí SHI
建,Kiến xây dựng; KEN; KON
帳,Trướng căng lên; CHOU
趣,Thú hứng thú SHU
記,Kí nhật kí KI
祈,Kỳcầu chúc;cầu xin KI
際,Tế quốc tế SAI
現,Hiện hiện thực; GEN
鉛,Duyên chất chì EN
集,Tập tập trung; thu thập SHUU
運,vận vận động UN
紹,Thiệu giới thiệu SHOU
案,Án đề án AN
説,Thuyết tiểu thuyết; SETSU; ZEI
捨,Xả vứt SHA
予,Dự dự báo YO
濯,Trạc tẩy rửa TAKU
泊,Bạc trọ lại HAKU
点,Điểm điểm số; trọng điểm TEN
除,Trừ trừ bỏ JO; JI
弱,Nhược yếu JAKU
越,Việt vượt qua ETSU
差,Sai sai khác SA
雑,Tạp tạp chí; ZATSU; ZOU
是,Thị điều đúng ZE
正,Chính chính xác SEI; SHOU
面,Diện mặt MEN
牧,Mục mục sư BOKU
駐,Trú cư trú CHUU
角,Giác góc KAKU
非,Phi phi thường HI
掃,Tảo quét dọn SOU
独,Độc độc thân; DOKU
紅,Hồng màu đỏ KOU; KU
乳,Nhũsữa NYUU
庫,Khố kho chứa; KO; KU
棚,Bằng cái giá -
奈,#N/A
川,Xuyên sông SEN
果,Quả kết quả KA
菜,Thái rau SAI
蔵,Tàng tàng trữ ZOU
映,Ánh phản ánh EI
左,Tả bên trái SA
征,Chinh chinh phục SEI
爾,#N/A
酒,Tửu rượu SHU
池,Trì cái ao CHI
靴,Ngoa giày dép KA
隣,Lân lân cận RIN
枚,Mai đêm tờ giấy MAI
両,Lưỡng 2 bên RYOU
十,Thập số 10 JUU; JI
台,Đài vũđài; cái bệ cao DAI; TAI
遠,Viễn xa EN; ON
遅,Trì muộn CHI
封,Phong niêm phong FUU; HOU
筒,Đồng ống tre TOU
九,Cửu số 9 KYUU; KU
三,Tam số 3 SAN
四,Tứ số 4 SHI
魚,Ngư con cá GYO
卵,Noãn trứng RAN
七,Thất số 7 SHICHI
八,Bát số 8 HACHI
五,Ngũsố 5 GO
六,Lục số 6 ROKU
沢,Trạch đầm lầy TAKU
静,Tĩnh yên tĩnh SEI; JOU
富,Phú phú quí FU; FUU
験,Nghiệm thực nghiệm KEN; GEN
桜,Anh anh đào OU
活,Hoạt sinh hoạt KATSU
仕,Sĩcông việc SHI; JI
士,Sĩnhân sĩSHI
寮,Liêu ký túc xá RYOU
青,Thanh màu xanh SEI; SHOU
優,Ưu ưu tú YUU
厚,Hậu bề dày KOU
寒,hàn lạnh; KAN
難,Nan gian nan NAN
黒,Hắc màu đen KOKU
赤,Xích màu đỏ SEKI; SHAKU
低,Đê thấp TEI
古,Cổ cổ xưa KO
薬,Dược thuốc YAKU
腹,Phúc cái bụng FUKU
球,cầu quả cầu KYUU
絵,Hội hội họa KAI; E
画,Họa/Hoạch họa sĩGA; KAKU
念,Niệm kỉ niệm NEN
借,Tá mượn SHAKU
貸,Thải cho vay TAI
伎,#N/A
嫌,Hiềm hiềm khích KEN; GEN
漢,hán hán tự KAN
有,Hữu có; YUU; U
好,Hảo thích KOU
鶏,Kê gà KEI
舞,Vũnhảy; khiêu vũBU
供,Cung cung cấp KYOU; KU
豚,Đồn con lợn TON
講,Giảng cắt nghĩa KOU
塩,Diêm muối EN
火,Hoả lửa KA
義,Nghĩa chính nghĩa GI
昨,Tạc hôm qua SAKU
夜,Dạ buổi tối YA
砂,Sa cát SA; SHA
糖,Đường chất đường TOU
木,Mộc cây BOKU; MOKU
呼,Hô hô hấp KO
取,Thủ lấy SHU
定,Định cố định TEI; JOU
別,Biệt phân biệt BETSU
開,khai khai vận KAI
閉,Bế đóng HEI
伝,Truyền truyền tín DEN
覚,Giác nhớ ra KAKU
起,khởi khởi dậy KI
石,Thạch đá SEKI; SHAKU; KOKU
寝,Tẩm ngủ SHIN
製,Chế chế tạo; SEI
刻,Khắc điêu khắc; KOKU
表,Biểu biểu hiện HYOU
鹸,#N/A
資,Tư của cải; SHI
働,Động lao động DOU
座,Tọa ngồi ZA
局,cục cục bộ KYOKU
梅,Mai cây mai BAI
半,Bán một nửa HAN
造,Tạo chế tạo ZOU
郵,Bưu bưu cục YUU
置,Trí đặt để; CHI
作,Tác sáng tác SAKU; SA
文,Văn văn hóa;văn học BUN; MON
春,Xuân mùa xuân SHUN
夏,Hạ mùa hè KA; GE
曇,Đàm trời mây DON
季,Quý niên quý KI
祭,Tế tế lễ SAI
焼,Thiêu thiêu đốt SHOU
秋,Thu mùa thu SHUU
冬,Đông mùa đông TOU
雪,Tuyết bông tuyết SETSU
涼,Lương mát mẻ RYOU
甘,Cam ngọt KAN
暖,Noãn ấm DAN
温,ôn ôn hoà ON
伏,Phục phục kích FUKU
博,Bác bác học HAKU; BAKU
辛,Tân cay SHIN
甲,Giáp thiết giáp KOU;KAN
経,Kinh kinh tế; KEI; KYOU
済,Tế kinh tế SAI
鉄,Thiết sắt TETSU
市,Thị thành phố SHI
末,Mạt cuối cùng MATSU; BATSU
注,Chú chú ý CHUU
飛,Phi bay HI
去,khứ quá khứ KYO; KO
幹,Cán cán bộ KAN
迎,Nghênh nghênh đón GEI
恋,Luyến tình yêu;luyến ái REN
普,Phổ phổ biến FU
遊,Du chơi YUU; YU
散,Tản tản bộ SAN
欲,Dục dục vọng YOKU
結,Kết kết hôn KETSU
婚,Hôn kết hôn KON
課,Khoá niên khoá; KA
第,Đệ đệ nhất; DAI
会,Hội gặp gỡ KAI; E
子,Tử con SHI; SU
大,Đại lớn DAI; TAI
気,Khí khí chất KI; KE
日,Nhật ngày; mặt trời NICHI; JITSU
本,Bản sách; Nhật Bản HON
入,Nhập vào trong; nhập khẩu NYUU
分,Phân phút BUN; FUN; BU
中,Trung ở giữa CHUU
学,Học học sinh GAKU
道,Đạo đường đi DOU; TOU
電,Điện điện thoại; đồ điện DEN
社,Xã xã hội SHA
年,Niên năm NEN
事,Sự sự việc; JI; ZU
手,Thủ cái tay SHU
料,Liệu nguyên liệu RYOU
合,Hợp hòa hợp GOU; GAQ; KAQ
長,Trường dài CHOU
物,Vật động vật BUTSU; MOTSU
生,Sinh học sinh SEI; SHOU
自,Tự tự thân; JI; SHI
人,Nhân người JIN; NIN
方,Phương phương hướng HOU
家,Gia gia đình; nhà KA; KE
切,Thiết cắt SETSU; SAI
出,Xuất xuất ngoại SHUTSU; SUI
文,Văn văn hóa;văn học BUN; MON
作,Tác sáng tác SAKU; SA
様,Dạng hình dạng YOU
車,Xa xe SHA
業,nghiệp nghiệp vụ GYOU; GOU
色,Sắc màu sắc SHOKU; SHIKI
月,Nguyệt trăng GETSU; GATSU
悪,ác ác nhân AKU; O
具,Cụ công cụ; GU
動,Động chuyển động DOU
上,Thượng bên trên JOU; SHOU
度,Độ nhiệt độ DO; TO; TAKU
今,Kim bây giờ KON; KIN
地,Địa đất; địa cầu CHI; JI
機,Cơ cơ khí KI
無,Vô vô lý MU; BU
予,Dự dự báo YO
下,Hạ bên dưới KA; GE
知,Tri tri thức; hiểu biết CHI
用,Dụng sử dụng YOU
約,Ước ước lượng YAKU
書,Thư sách SHO
空,Không không gian KUU
行,Hành đi; lữ hành KOU; GYOU; AN
間,Gian ở giữa; trung gian KAN; KEN
心,Tâm tâm trạng; tâm lý SHIN
見,Kiến nhìn KEN
化,hoá biến hoá KA; KE
表,Biểu biểu hiện HYOU
話,Thoại hội thoại; đàm thoại WA
婚,Hôn kết hôn KON
式,Thức hình thức SHIKI
世,Thế thế giới SEI; SE
法,Pháp phương pháp HOU; HAQ; HOQ
思,Tư suy nghĩSHI
議,Nghị hội nghị GI
風,Phong gió FUU; FU
持,Trì duy trì JI
休,Hưu nghỉ hưu KYUU
定,Định cố định TEI; JOU
食,Thực thực phẩm SHOKU; JIKI
院,viện bệnh viện IN
息,Tức hơi thở SOKU
娘,Nương con gái -
原,Nguyên nguyên nhân GEN
小,Tiểu nhỏ SHOU
工,Công công trường KOU; KU
体,Thể cơ thể TAI; TEI
習,Tập luyện tập; SHUU
力,Lực năng lực RYOKU; RIKI
者,Giả người SHA
関,Quan liên quan KAN
時,Thời thời gian JI
申,Thân xưng tên SHIN
嫌,Hiềm hiềm khích KEN; GEN
目,Mục mắt; mục lục MOKU; BOKU
番,Phiên lần lượt BAN
調,Điều điều hành CHOU
品,Phẩm sản phẩm HIN
配,Phối phân phối HAI
宇,Vũvũtrụ U
金,Kim vàng KIN; KON
宙,Trụ vũtrụ CHUU
理,Lý vật lý; xử lý RI
込,Nhập dồn; -
成,Thành thành công SEI; JOU
来,Lai đến; RAI
礼,Lễ lễ nghi REI; RAI
口,Khẩu cái mồm KOU; KU
歴,Lịch lý lịch REKI
組,Tổ nhóm; tổ chức SO
味,Vị hương vị MI
史,Sử lịch sử SHI
熱,Nhiệt nóng NETSU
茶,Trà trà đạo CHA; SA
荷,hà hành lý KA
活,Hoạt sinh hoạt KATSU
段,Đoạn giai đoạn DAN
店,Điếm cửa hàng TEN
相,Tương tương tự SOU; SHOU
温,ôn ôn hoà ON
冷,Lãnh lạnh REI
忙,Mang bận rộn BOU
震,Chấn địa chấn SHIN
急,cấp khẩn cấp KYUU
号,Hiệu số hiệu GOU
守,Thủ bảo vệ SHU; SU
留,Lưu lưu lại; RYUU; RU
伺,Tứ thăm hỏi SHI
庫,Khố kho chứa; KO; KU
苦,Khổ đắng; KU
怖,Bố khủng bố FU
濯,Trạc tẩy rửa TAKU
洗,Tiển tẩy rửa SEN
以,Dĩcái mốc I
説,Thuyết tiểu thuyết; SETSU; ZEI
先,Tiên trước; tiên sinh SEN
詳,Tường rõ ràng SHOU
内,Nội bên trong; nội dung NAI; DAI
報,Báo báo cáo HOU
材,Tài khí tài; ZAI
親,Thân người thân SHIN
警,Cảnh cảnh sát KEI
楽,Lạc vui vẻ GAKU; RAKU
夕,Tịch buổi chiều SEKI
何,Hà cái gì KA
販,Phiến buôn bán HAN
売,Mại bán BAI
再,Tái làm lại; SAI; SA
積,Tích thành tích SEKI
便,Tiện tiện lợi BEN; BIN
後,Hậu phía sau GO; KOU
運,vận vận động UN
港,Cảng hải cảng KOU
当,Đương đương thời TOU
台,Đài vũđài; cái bệ cao DAI; TAI
所,Sở nơi chốn SHO
待,Đãi chiêu đãi TAI
一,Nhất số 1 ICHI; ITSU
水,Thủy nước SUI
士,Sĩnhân sĩSHI
連,Liên liên lạc REN
太,Thái béo TAI; TA
缶,Phữu hộp; can KAN
康,Khang an khang KOU
海,Hải biển; hải cảng KAI
失,Thất thất bại SHITSU
別,Biệt phân biệt BETSU
着,Trước đến nơi CHAKU; JAKU
健,Kiện tráng kiện KEN
危,Nguy nguy hiểm KI
例,Lệ ví dụ REI
花,Hoa bông hoa KA
発,Phát phát triển HATSU; HOTSU
由,Do tự do YU; YUU; YUI
性,Tính tính cách SEI; SHOU
真,Chân chân thật SHIN
望,Vọng ước vọng BOU; MOU
希,Hi hi vọng KI
整,Chỉnh chỉnh đốn SEI
音,Âm âm thanh ON; IN
止,Chỉ dừng lại; đình chỉ SHI
葉,Diệp cái lá YOU
棚,Bằng cái giá -
集,Tập tập trung; thu thập SHUU
都,Đô kinh đô TO; TSU
邪,Tà yêu tà JA
営,Doanh kinh doanh EI
違,Vi sai khác I
格,Cách nhân cách; KAKU; KOU
常,Thường bình thường JOU
重,Trọng nặng JUU; CHOU
非,Phi phi thường HI
界,giới thế giới KAI
安,an an toàn AN
夜,Dạ buổi tối YA
険,Hiểm hiểm họa; KEN
立,Lập đứng RITSU; RYUU
全,Toàn hoàn toàn ZEN
魔,Ma ma quỷ MA
使,Sử sử dụng SHI
宝,Bảo quý hiếm HOU
意,ý ý chí I
注,Chú chú ý CHUU
美,Mỹ mỹ thuật BI
愛,Ái ái tình AI
禁,Cấm nghiêm cấm KIN
察,Sát cảnh sát SATSU
病,Bệnh bệnh tật BYOU; HEI
反,Phản phản đối HAN; HON; TAN
明,Minh sáng; MEI; MYOU
員,viên xã viên IN
穴,Huyệt cái hố KETSU
白,Bạch màu trắng KAKU; BYAKU
毎,Mỗi mỗi ngày MAI
平,Bình hoà bình HEI; BYOU
薄,Bạc nhạt HAKU
厚,Hậu bề dày KOU
祖,Tổ tổ tiên SO
傷,Thương vết thương SHOU
洋,Dương đại dương YOU
代,Đại hiện đại DAI; TAI
因,Nhân nguyên nhân IN
絵,Hội hội họa KAI; E
係,Hệ quan hệ KEI
高,Cao chiều cao; cao học KOU
粧,Trang hóa trang SHOU
路,Lộ tiến lộ; RO
宅,Trạch nhà riêng TAKU
男,Nam con trai DAN; NAN
賞,Thưởng tán thưởng SHOU
最,Tối tối cao; SAI
博,Bác bác học HAKU; BAKU
半,Bán một nửa HAN
国,Quốc quốc gia KOKU
計,Kế kế hoạch KEI
的,Đích mục đích TEKI
変,Biến biến hóa HEN
収,Thu thu nhập SHUU
房,Phòng buồng BOU
幸,Hạnh hạnh phúc KOU
外,Ngoại bên ngoài GAI; GE
島,Đảo hòn đảo TOU
珍,Trân quí hiếm CHIN
可,Khả khả năng KA
旅,Lữ du lịch RYO
曲,khúc khúc nhạc KYOKU
備,Bị chuẩn bị BI
正,Chính chính xác SEI; SHOU
次,Thứ tiếp theo JI; SHI
問,Vấn hỏi MON
祝,Chúc chúc mừng SHUKU; SHUU
細,Tế gầy SAI
個,Cá cá thể; cá nhân KO
黄,Hoàng màu vàng KOU ;OU
踊,Dũng nhảy múa YOU
帰,Quy trở về KI
紀,Kỉ thế kỉ KI
科,Khoa khoa học KA
赤,Xích màu đỏ SEKI; SHAKU
実,Thực sự thực; JITSU
火,Hoả lửa KA
故,Cố sự cố; KO
東,Đông phía đông TOU
対,Đối đối tượng; TAI; TSUI
要,Yếu tất yếu YOU
必,Tất tất yếu HITSU
汽,Khí hơi nước KI
板,Bản cái bảng; HAN; BAN
石,Thạch đá SEKI; SHAKU; KOKU
官,Quan quan lại KAN
客,khách lữ khách KYAKU; KAKU
壁,Bích bức tường HEKI
参,Tham tham gia SAN
瓶,Bình bình; lọ BIN
丸,Hoàn hình tròn GAN
彼,Bỉ anh ta HI
球,cầu quả cầu KYUU
加,Gia tham gia KA
漫,Mạn lãng mạn MAN
父,Phụ cha FU
母,Mẫu mẹ BO
画,Họa/Hoạch họa sĩGA; KAKU
値,Trị giá trị CHI
優,Ưu ưu tú YUU
管,Quản quản lý KAN
操,Thao thao tác SOU
湯,Thang nước nóng TOU
忘,Vong quên BOU
談,Đàm đàm thoại DAN
女,Nữ con gái JO; NYO; NYOU
授,Thụ truyền thụ; JU
玄,Huyền huyền diệu GEN
形,Hình hình dạng KEI;GYOU
験,Nghiệm thực nghiệm KEN; GEN
船,Thuyền cái thuyền SEN
類,Loại chủng loại RUI
廊,Lang hành lang ROU
池,Trì cái ao CHI
不,Bất không có; FU; BU
通,Thông giao thông; thông hành TSUU; TSU
木,Mộc cây BOKU; MOKU
結,Kết kết hôn KETSU
席,Tịch chỗ ngồi SEKI
西,Tây phía tây SEI; SAI
硬,Ngạnh ương ngạnh KOU
昔,Tích ngày xưa; SEKI; SHAKU
育,dục giáo dục IKU
慣,Quán quen; KAN
靴,Ngoa giày dép KA
館,quán hội quán KAN
教,Giáo giáo dục; giáo viên KYOU
新,Tân mới SHIN
柔,Nhu mềm dẻo JUU; NYUU
紐,#N/A
場,Trường công trường JOU
側,Trắc phía SOKU
部,Bộ bộ trưởng BU
曜,Diệu ngày YOU
初,Sơ sơ lược SHO
袋,Đại túi TAI
命,Mệnh sinh mệnh MEI; MYOU
秋,Thu mùa thu SHUU
覚,Giác nhớ ra KAKU
送,Tống đưa đi; SOU
争,Tranh chiến tranh SOU
置,Trí đặt để; CHI
和,Hoà hoà bình WA; O
戦,Chiến chiến tranh SEN
素,Tố nguyên tố; SO; SU
